"Life Regen",生命回复
"Enemies have {0} chance to Dodge Attack or Spell Hits from this Skill or Minions","敌人躲避来自该技能或召唤生物的攻击击中或法术击中的几率 {0}"
"This Skill and Minions have {0} chance to gain Onslaught for {1} seconds when you Hit a Unique Enemy","击中稀有或传奇敌人时，此技能和召唤生物有 {0} 几率获得【猛攻】效果，持续 {1} 秒"
"This Attack and Minions have {0} chance to gain Onslaught for {1} seconds on dealing a Killing Blow","此攻击和召唤生物击败敌人时，有 {0} 几率获得持续 {1} 秒的【猛攻】状态"
"This Skill and Minions deal up to {0} more Melee Damage to Enemies, based on proximity","被辅助技能基于距离对敌人的总近战伤害最多额外提高 {0}"
"This Attack and Minions have {0} chance to inflict Withered on Hit","此攻击和召唤生物击中敌人后有 {0} 的几率造成【死亡凋零】"
"This Spell and Minions have {0} increased Cast Speed","该法术与召唤生物的施法速度提高 {0}"
"This Spell and Minions have {0} reduced Cast Speed","该法术与召唤生物的施法速度降低 {0}"
"This Spell and Minions have {0} increased Cast Speed when on Low Life","当低血时，该法术与召唤生物的施法速度提高 {0}"
"This Spell and Minions have {0} reduced Cast Speed when on Low Life","当低血时，该法术与召唤生物的施法速度降低 {0}"
"This Spell and Minions have {0} more Cast Speed","该法术与召唤生物的总施法速度额外提高 {0}"
"This Spell and Minions have {0} less Cast Speed","该法术与召唤生物的总施法速度额外降低 {0}"
"This Skill and Minions have {0} chance to throw up to {1} additional Trap or Mine","该技能和召唤生物有 {0} 的几率投掷 {1} 个额外的陷阱或地雷"
"This Skill and Minions have {0} chance to throw up to {1} additional Traps or Mines","该技能和召唤生物有 {0} 的几率投掷 {1} 个额外的陷阱或地雷"
"Casts Sniper's Mark",施放狙击之印
"Sacrifices {0} of your Life","牺牲你生命的 {0}"
"Minions Regenerate {0} of Sacrificed Life per second","召唤生物每秒获得所牺牲生命 {0} 的生命回复"
"{0} more Life Regeneration granted to Minions per corpse Consumed","每消耗 1 具灵柩，召唤生物的生命回复便额外提高 {0}"
"{0} less Life Regeneration granted to Minions per corpse Consumed","每消耗 1 具灵柩，召唤生物的生命回复便额外降低 {0}"
"Grants Minions {0} increased Attack Speed","召唤生物的攻击速度提高 {0}"
"Grants Minions {0} reduced Attack Speed","召唤生物的攻击速度降低 {0}"
"Grants Minions {0} increased Damage","召唤生物的伤害提高 {0}"
"Grants Minions {0} reduced Damage","召唤生物的伤害降低 {0}"
"Grants Minions {0} increased Cast Speed","召唤生物的施法速度提高 {0}"
"Grants Minions {0} reduced Cast Speed","召唤生物的施法速度降低 {0}"
"Grants Minions {0} increased Movement Speed","召唤生物的移动速度提高 {0}"
"Grants Minions {0} reduced Movement Speed","召唤生物的移动速度降低 {0}"
"Grants Minions {0} Chance to Block Attack Damage","召唤生物的攻击伤害格挡几率提高 {0} "
"Grants Minions {0} Chance to Block Spell Damage","召唤生物的法术伤害格挡几率提高 {0} "
"Minions gain {0} of their Physical Damage as Extra Chaos Damage","召唤生物获得额外混沌伤害，其数值等同于自身物理伤害的 {0}"
"Minions gain {0} of their Maximum Life as Extra Maximum Energy Shield for each corpse Consumed","每消耗 1 具灵柩，召唤生物便获得等同于自身最大生命 {0} 的额外能量护盾"
"Grants Minions {0} to Chaos Resistance","使召唤生物 {0} 混沌抗性"
"Minions gain {0} to all Elemental Resistances","召唤生物获得 {0} 元素抗性"
"Grants Minions {0} of Damage Leeched as Life","将召唤生物伤害的 {0} 转化为生命偷取"
"{0} more Duration ","总持续时间额外延长 {0}"
"{0} less Duration ","总持续时间额外缩短 {0}"
"{0} increased Duration of this Skill and Damaging Ailments","此技能和伤害性异常状态时间延长 {0}"
"{0} reduced Duration of this Skill and Damaging Ailments","此技能和伤害性异常状态时间缩短 {0}"
"{0} increased Duration ","持续时间延长 {0}"
"{0} reduced Duration ","持续时间缩短 {0}"
"Buff grants {0} increased Critical Strike Chance","增益效果使暴击率提高 {0}"
"Buff grants have {0} reduced Critical Strike Chance","增益效果使暴击率降低 {0}"
"Buff grants {0} more Burning Damage","增益效果的总燃烧伤害额外提高 {0}"
"Buff grants {0} less Burning Damage","增益效果的总燃烧伤害额外降低 {0}"
"Buff grants {0} more Spell Fire Damage","增益效果的总法术火焰伤害额外提高 {0}"
"Buff grants {0} less Spell Fire Damage","增益效果的总法术火焰伤害额外降低 {0}"
"Buff grants {0} increased Cold Damage","增益效果的冰霜伤害提高 {0}"
"Buff grants {0} increased Lightning Damage","增益效果的闪电伤害提高 {0}"
"Buff Grants {0} chance to Shock enemies","增益效果使敌人有 {0} 的几率获得感电效果"
"Buff grants {0} increased Damage taken","增益效果使承受的伤害提高 {0}"
"Buff grants {0} reduced Damage taken","增益效果使承受的伤害降低 {0}"
"Buff grants {0} more Spell Damage","增益效果使总法术伤害提高 {0}"
"Buff grants {0} less Spell Damage","增益效果使总法术伤害降低 {0}"
"Buff grants {0} to {1} Added Spell Physical Damage per {2} Shield Quality","每 {2} 盾牌品质都使增益效果附加 {0} 到 {1} 点物理伤害"
"You lose {0} Energy Shield per second","你每秒失去 {0} 点能量护盾"
"Buff grants {0} additional Physical Damage Reduction per Endurance Charge","每个耐力球使增益效果获得 {0} 额外物理伤害减免"
"Buff grants {0} increased Armour","增益效果使护甲提高 {0}"
"Buff grants {0} reduced Armour","增益效果使护甲降低 {0}"
"Buff grants {0} to all Elemental Resistances per Endurance Charge","每个耐力球使增益效果 {0} 所有元素抗性"
"Buff grants {0} to all Resistances","增益效果使所有抗性 {0}"
"Buff grants {0} increased Attack and Cast Speed","增益效果使攻击和施法速度加快 {0}"
"Buff grants {0} reduced Attack and Cast Speed","增益效果使攻击和施法速度减慢 {0}"
"Buff grants {0} chance to Freeze","增益效果有 {0} 的几率导致冻结"
"Buff grants {0} increased Damage","增益效果使伤害提高 {0}"
"Buff grants {0} reduced Damage","增益效果使伤害降低 {0}"
"Buff Grants {0} increased Spell Damage","增益效果使法术伤害提高 {0}"
"Buff Grants {0} reduced Spell Damage","增益效果使法术伤害降低 {0}"
"Buff grants {0} more Armour","增益效果使总护甲额外提高 {0}"
"{0} increased Explicit Modifier magnitudes","外延词缀幅度提高 {0}"
"{0} reduced Explicit Modifier magnitudes","外延词缀幅度降低 {0}"
"Socketed Gems are Supported by Level {0} Trinity","插入的技能石被 {0} 级的三位一体辅助"
"{0} chance to avoid Interruption from Stuns while using Socketed Attack Skills","使用插入的攻击技能时，有 {0} 的几率避免被眩晕打断"
"Avoid Interruption from Stuns while using Socketed Attack Skills",使用插入的攻击技能时避免被眩晕打断
"Curse Auras from Socketed Skills also affect you",插入技能的诅咒光环也作用于你自身
"Socketed Skills apply Fire, Cold and Lightning Exposure on Hit",插入的技能击中时施加火焰、冰霜、闪电曝露效果
"Grants Level {0} Unhinge Skill","提供 {0} 级精神失常"
"Triggers Level {0} Primal Aegis when Allocated","配置时触发 {0} 级原能护盾"
"Trigger Level {0} Icicle Burst when you Hit a Frozen Enemy","你击中冻结的敌人时触发 {0} 级爆环冰刺"
"Other Aegis Skills are Disabled",禁用其它护盾技能
"{0} reduced Attack Damage with Main Hand","主手攻击伤害降低 {0}"
"{0} increased Attack Damage with Off Hand","副手攻击伤害提高 {0}"
"{0} reduced Attack Damage with Off Hand","副手攻击伤害降低 {0}"
"You and Nearby Allies have {0} increased Item Rarity","你和周围友军的物品稀有度提高 {0}"
"You and Nearby Allies have {0} reduced Item Rarity","你和周围友军的物品稀有度降低 {0}"
"Modifiers to Minimum Endurance Charges instead apply to Minimum Brutal Charges",调整耐力球数量下限的词缀改为调整残暴球数量下限
"Maximum Brutal Charges is equal to Maximum Endurance Charges",残暴球数量上限等于耐力球数量上限
"Modifiers to Minimum Frenzy Charges instead apply to Minimum Affliction Charges",调整狂怒球数量下限词缀改为调整痛苦球数量下限
"Maximum Affliction Charges is equal to Maximum Frenzy Charges",痛苦球数量上限等于狂怒球数量上限
"Modifiers to Minimum Power Charges instead apply to Minimum Absorption Charges",调整暴击球数量下限的词缀改为调整榨取球数量下限
"Maximum Absorption Charges is equal to Maximum Power Charges",榨取球数量上限等于暴击球数量上限
"Projectiles have {0} chance to be able to Chain when colliding with terrain","投射物击中地面有 {0} 的几率产生连锁效果"
"Projectiles can Chain when colliding with terrain",投射物击中地形产生连锁效果
"Your Hits always Ignite",你的击中始终具有点燃效果
"Your Hits always Shock",你的击中始终具有感电效果
"You take Chaos Damage instead of Fire Damage from Ignite",你被点燃时承受混沌伤害来代替火焰伤害
"{0} of Damage taken Recouped as Mana","将承受伤害的 {0} 吸纳为魔力"
"Damage of Enemies Hitting you is Lucky while you are on Low Life",低血时，敌人击中你的伤害会特别幸运
"Damage of Enemies Hitting you is Unlucky while you are on Low Life",低血时，敌人击中你的伤害会特别不幸
"{0} increased Effect of your Marks","你的咒印效果效果提高 {0}"
"{0} reduced Effect of your Marks","你的咒印效果效果降低 {0}"
"Projectiles have {0} chance to Return to you from final target","投射物有 {0} 的几率从最后的目标返回"
"Projectiles Return to you from final target",投射物会从最后的目标返回
"Projectiles have {0} chance to Return to you","投射物有 {0} 的几率返回"
"Projectiles have {0} chance to Return to you, {1} chance from a final target","投射物有 {0} 的几率返回，从最后的目标返回的几率 {1}"
"Projectiles Return to you from final target, and have {0} chance to Return at end of flight","投射物会从最后的目标返回，有 {0} 的几率在飞行结束后返回"
"All Damage with Hits can Ignite",所有击中的伤害都有点燃效果
"All Damage with Hits can Chill",所有击中的伤害都有冰缓效果
"All Damage with Hits can Freeze",所有击中的伤害都有冻结效果
"All Damage with Hits can Shock",所有击中的伤害都有感电效果
"Your Hits treat Cold Resistance as {0} higher than actual value","你的击中将冰霜抗性视为比实际高 {0}"
"Found Items have {0} chance to drop Corrupted in Area","区域内找到的物品有 {0} 的几率在掉落时腐化"
"Damage of Enemies Hitting you is Lucky while you are Cursed with Vulnerability",被脆弱诅咒时，敌人击中你的伤害会特别幸运
"Damage of Enemies Hitting you is Unlucky while you are Cursed with Vulnerability",被脆弱诅咒时，敌人击中你的伤害会特别不幸
"With at least {0} Intelligence in Radius, {1} of Damage taken Recouped as Mana if you've Warcried Recently","若你近期内使用过战吼，且范围内至少有 {0} 点智慧，便将承受伤害的 {1} 吸纳为魔力"
"{0} of Damage taken Recouped as Mana if you've Warcried Recently","若你近期内使用过战吼，便将承受伤害的 {0} 吸纳为魔力"
"{0} increased Rolling Magma Damage","熔岩奔涌伤害提高 {0}"
"{0} reduced Rolling Magma Damage","熔岩奔涌伤害降低 {0}"
"{0} to maximum number of Summoned Golems","召唤魔像的数量上限 {0}"
"{0} increased Rolling Magma Area of Effect","熔岩奔涌效果区域提高 {0}"
"{0} reduced Rolling Magma Area of Effect","熔岩奔涌效果区域降低 {0}"
"Rolling Magma Chains an additional time",熔岩奔涌额外连锁一次
"Rolling Magma Chains an additional {0} times","熔岩奔涌额外连锁 {0} 次"
"You and Allies affected by your placed Banners Regenerate {0}% of",你和友军受到你放置的旗帜影响，
"Life per second for each Stage","每层每秒再生 {0}% 生命"
