"k","v"
"25% increased Critical Strike Chance with Traps","增加 25% 陷阱暴擊率"
"25% increased Critical Strike Chance with Mines","增加 25% 地雷暴擊率"
"16% increased Trap Damage","增加 16% 陷阱傷害"
"16% increased Mine Damage","增加 16% 地雷傷害"
"30% increased Mine Duration","增加 30% 地雷持續時間"
"30% increased Trap Trigger Area of Effect","增加 30% 陷阱觸發範圍"
"Trap Damage Penetrates 10% Elemental Resistances","陷阱傷害穿透 10% 元素抗性"
"Mine Damage Penetrates 10% Elemental Resistances","地雷傷害穿透 10% 元素抗性"
"+15% to Critical Strike Multiplier with Traps","+15% 陷阱暴擊加成"
"+15% to Critical Strike Multiplier with Mines","+15% 地雷暴擊加成"
"20% increased Trap Damage","增加 20% 陷阱傷害"
"Traps cannot be Damaged for 5 seconds after being Thrown","陷阱投擲後 5 秒內不會損壞"
"Mines cannot be Damaged for 5 seconds after being thrown","地雷投擲後 5 秒不會受到傷害"
"50% increased Critical Strike Chance with Traps","增加 50% 陷阱暴擊率"
"50% increased Critical Strike Chance with Mines","增加 50% 地雷暴擊率"
"+30% to Critical Strike Multiplier with Traps","+30% 陷阱暴擊加成"
"+30% to Critical Strike Multiplier with Mines","+30% 地雷暴擊加成"
"+5 to Intelligence","+5 智慧"
"8% increased Spell Damage","增加 8% 法術傷害"
"8% increased Projectile Damage","增加 8% 投射物傷害"
"+5 to Dexterity","+5 敏捷"
"+5 to Strength","+5 力量"
"10% increased Melee Physical Damage","增加 10% 近戰物理傷害"
"45% increased Critical Strike Chance","增加 45% 暴擊率"
"+1% to maximum Fire Resistance","+1% 最大火焰抗性"
"+8% to Fire Resistance","+8% 火焰抗性"
"50% reduced Maximum Recovery per Life Leech","從生命偷取中獲得的最大總恢復量降低 50%"
"30% increased Area of Effect if you've Killed Recently","若你近期有擊殺，增加 30% 範圍效果"
"+4% Elemental Resistances while holding a Shield","持盾時 +4% 元素抗性"
"Damage with Weapons Penetrates 4% Elemental Resistance","武器造成的傷害穿透 4% 元素抗性"
"40% increased Mine Duration","增加 40% 地雷持續時間"
"10% increased Mine Throwing Speed","增加 10% 地雷投擲速度"
"Each Mine applies 2% reduced Damage dealt to Enemies near it, up to 10%","每個地雷對它附近的敵人減少 2% 造成傷害，至多 10%"
"6% increased Mine Throwing Speed","地雷投擲速度提高 6%"
"Life Regeneration has no effect","生命回復沒有效果"
"30% increased Totem Damage","增加 30% 圖騰傷害"
"Attacks used by Totems have 8% increased Attack Speed","圖騰所使用的攻擊增加 8% 攻擊速度"
"Brand Skills have 10% increased Duration","烙印技能增加 10% 持續時間"
"24% increased Totem Damage","增加 24% 圖騰傷害"
"20% increased Totem Life","圖騰的生命提高 20%"
"20% increased Totem Duration","增加 20% 圖騰持續時間"
"24% increased Damage with Brand Skills","烙印技能傷害提高 24%"
"Brand Skills have 20% increased Duration","烙印技能增加 20% 持續時間"
"30% increased Totem Placement speed","增加 30% 圖騰放置速度"
"Spells Cast by Totems have 6% increased Cast Speed","圖騰所使用的法術增加 6% 施放速度"
"Attacks used by Totems have 10% increased Attack Speed","圖騰所使用的攻擊增加 10% 攻擊速度"
"12% increased Trap Damage","增加 12% 陷阱傷害"
"15% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy","當你的陷阱被敵人觸發時有 15% 機率獲得一個狂怒球"
"+200 to Evasion Rating","+200 點閃避值"
"6% increased Movement Speed","增加 6% 移動速度"
"Can Allocate Passives from the Marauder's starting point","可以從野蠻人的起點配置天賦"
"+40 to Strength","+40 力量"
"9% increased Attack Speed","攻擊速度提高 9%"
"Energy Shield Recharge is not interrupted by Damage if","只要近期內開始"
"Recharge began Recently","能量護盾回復不會被傷害打斷"
"50% less Energy Shield Regeneration Rate","總能量護盾回復速度額外降低 50% "
"50% less Maximum total Recovery per Second from Energy Shield Leech","從能量護盾偷取中獲得的總最大恢復量額外降低 50%"
"50% of Physical, Cold and Lightning Damage Converted to Fire Damage","50% 的物理、冰霜和閃電傷害轉換為火燄傷害"
"30% of Damage is taken from Mana before Life","生命值所受的 30% 傷害由魔力扣除"
"Modifiers to Critical Strike Multiplier also apply to Damage over Time Multiplier for Ailments from Critical Strikes at 50% of their value","暴擊造成異常狀態時，用于暴擊傷害加成的詞綴也套用于持續傷害加成，等于其數值的 50%"
"30% less Damage with Hits","擊中的總傷害額外降低 30%"
"8% increased Chaos Damage","增加 8% 混沌傷害"
"+8% to Chaos Damage over Time Multiplier","+8% 混沌持續傷害加成"
"22% increased Chaos Damage","增加 22% 混沌傷害"
"5% increased Melee Attack Speed","增加 5% 近戰攻擊速度"
"50% increased Critical Strike Chance for Spells","增加 50% 法術暴擊率"
"20% increased Elemental Damage","增加 20% 元素傷害"
"20% reduced Reflected Elemental Damage taken","反射的元素傷害降低 20%"
"15% increased Mana Recovery from Flasks","增加 15% 來自藥劑的魔力回復"
"25% increased Mana Recovery from Flasks","增加 25% 藥劑回復魔力"
"15% reduced Flask Charges used","藥劑充能使用降低 15%"
"10% reduced Mana Cost of Skills while on Full Energy Shield","能量護盾全滿時減少 10% 技能魔力消耗"
"20% reduced Reflected Physical Damage taken","反射的物理傷害降低 20%"
"4% chance to deal Double Damage","4% 機率造成 2 倍傷害"
"+10 Life gained on Kill","+10 擊殺回復生命"
"+10 Mana gained on Kill","+10 擊殺回復魔力"
"Regenerate 1% of Life per second for each Mine Detonated Recently, up to 10% per second","近期內，每個引爆的地雷使每秒回復 1% 生命，最多 10%"
"Regenerate 1% of Life per Second for each Trap Triggered Recently, up to 10% per second","近期內每個觸發的陷阱使每秒回復 1% 生命，最多 10%"
"20% reduced Mana Cost of Skills that throw Traps","投擲地雷或投擲陷阱類技能的魔力消耗降低 20%"
"20% reduced Mana Reservation of Skills that throw Mines","投擲地雷類技能的魔力保留降低 20%"
"10% reduced Damage taken from Blinded Enemies","減少承受來自致盲敵人的 10% 傷害"
"30% increased Damage with Hits and Ailments against Blinded Enemies","對致盲敵人的擊中和異常狀態傷害提高 30%"
"25% chance to Blind Enemies on Hit","擊中敵人時有 25% 機率致盲"
"30% increased Area of Effect","增加 30% 範圍效果"
"8% reduced Area Damage taken from Hits","被擊中時承受的範圍傷害降低 8%"
"+30% to Critical Strike Multiplier against Burning Enemies","對燃燒敵人的攻擊和法術基礎暴擊傷害加成提高 +30%"
"80% increased Critical Strike Chance against Shocked Enemies","對感電的敵人增加 80% 暴擊率"
"Damage Penetrates 10% Elemental Resistances against Chilled Enemies","傷害對被冰緩的敵人穿透 10% 元素抗性"
"You gain 4% increased Area of Effect for each Mine","每個地雷可使你的技能範圍擴大  4%"
"20% increased Mine Throwing Speed if you Detonated Mines Recently","近期內你若引爆過地雷，則地雷放置投擲速度提高 20%"
"40% increased Damage if you Detonated Mines Recently","近期內你若引爆過地雷，則地雷傷害提高 40%"
"5% increased Trap Throwing Speed","增加 5% 陷阱投擲速度"
"10% increased Cooldown Recovery Speed for throwing Traps","陷阱冷卻回復速度提高 10%"
"You gain 8% increased Damage for each Trap","每個陷阱可使你的傷害提高 8%"
"20% Chance for Traps to Trigger an additional time","陷阱有 20% 幾率額外觸發一次"
"15% increased Cooldown Recovery Speed for throwing Traps","陷阱冷卻回復速度提高 15%"
"Skills used by Traps have 20% increased Area of Effect","陷阱所使用的技能範圍擴大 20%"
"6% increased Evasion Rating and Armour","增加 6% 閃避值與護甲"
"Consecrated Ground you create applies 10% increased Damage taken to Enemies","你創造的【奉獻地面】可以使敵人承受的傷害提高 10%"
"Regenerate 15 Mana per Second while on Consecrated Ground","位于奉獻地面上時，每秒回復 15 魔力"
"12% increased Attack Damage while holding a Shield","持盾牌時造成的攻擊傷害提高 12% "
"Attack Skills deal 12% increased Damage with Ailments while holding a Shield","持盾時攻擊技能增加 12% 異常狀態傷害"
"15% Chance to Block Attack Damage","15% 攻擊傷害格擋率"
"15% Chance to Block Spell Damage","15% 法術傷害格擋率"
"+3% to maximum Chance to Block Attack Damage","+3% 最大攻擊傷害格擋率"
"10% chance to Blind Enemies on Hit with Attacks","攻擊擊中時有 10% 機率造成致盲"
"25% more Damage with Bleeding","流血有 25% 更多傷害"
"Cold Spells have 10% of Physical Damage Converted to Cold Damage","冰霜法術可使 10% 的物理傷害轉換為冰霜傷害"
"Lightning Spells have 10% of Physical Damage Converted to Lightning Damage","閃電法術可將物理傷害的 10% 轉換為閃電傷害"
"+6% to Damage over Time Multiplier for Bleeding","流血 +6% 持續傷害加成"
"+8% to Damage over Time Multiplier for Bleeding","流血 +8% 持續傷害加成"
"40% increased Attack Damage against Bleeding Enemies","增加對流血中敵人 40% 攻擊傷害"
"5% reduced Damage taken from Bleeding Enemies","承受來自流血敵人的傷害降低 5%"
"Bleeding you inflict deals Damage 10% faster","你造成的流血傷害加速 10%"
"20% increased Blind duration","增加 20% 致盲持續時間"
"+100 to Evasion Rating","+100 點閃避值"
"40% chance to Avoid Blind","40% 機率避免被致盲"
"5% chance to Blind Enemies on Hit with Attacks","攻擊擊中時有 5% 機率造成致盲"
"60% chance to Avoid Blind","60% 機率避免被致盲"
"5% reduced Damage taken from Blinded Enemies","承受來自致盲敵人的傷害降低 5%"
"4% increased Attack Speed while you have Fortify","護體狀態下增加 4% 攻擊速度"
"12% increased Attack Damage while you have Fortify","你有護體時增加 12% 攻擊傷害"
"25% increased Fortify duration","增加 25% 護體效果持續時間"
"10% increased Effect of Fortify on you","增加你身上 10% 護體的效果"
"8% increased Attack Speed while you have Fortify","護體狀態下增加 8% 攻擊速度"
"5% increased Movement Speed while you have Fortify","護體狀態下增加 5% 移動速度"
"20% increased Attack Damage while you have Fortify","你有護體時增加 20% 攻擊傷害"
"20% increased Critical Strike Chance with Traps","增加 20% 陷阱暴擊率"
"20% increased Critical Strike Chance with Mines","增加 20% 地雷暴擊率"
"15% chance to gain a Power Charge when your Trap is triggered by an Enemy","當你的陷阱被敵人觸發時有 15% 的機會獲得一個暴擊球"
"15% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy","當你的地雷對敵人爆炸時，有 15% 的機會獲得 1 個暴擊球"
"8% increased Damage per Endurance Charge","每個耐力球增加 8% 傷害"
"6% increased Area of Effect per Endurance Charge","每顆耐力球增加 6% 範圍效果"
"25% chance to gain an Endurance Charge when you Stun an Enemy","當你暈眩敵人時，有 25% 機率獲得 1 顆耐力球"
"10% increased Stun Duration on Enemies per Endurance Charge","每顆耐力球增加敵人 10% 暈眩持續時間"
"1% increased Attack Speed per 200 Accuracy Rating","每 200 點命中值可使攻擊速度提高 1%"
"30% increased Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds","若你在過去 8 秒內打出過暴擊，則命中值提高 30%"
"30% increased Damage if you've dealt a Critical Strike in the past 8 seconds","若過去 8 秒內你打出過暴擊，則傷害提高 30%"
"30% chance to gain an Endurance Charge when you are Hit","被擊中時 30% 機率獲得耐力球"
"25% chance that if you would gain Endurance Charges, you instead gain up to your maximum number of Endurance Charges","獲得耐力球時有 25% 機率直接獲得你的最大上限耐力球數量"
"1% additional Physical Damage Reduction per Endurance Charge","每顆耐力球有 1% 額外物理傷害減免"
"8% reduced Elemental Damage taken while at Maximum Endurance Charges","耐力球達到上限時，減少 8% 受到的元素傷害"
"+4% to Chaos Resistance per Endurance Charge","每顆耐力球 +4% 混沌抗性"
"5% reduced Damage taken","減少 5% 承受傷害"
"1.5% of Total Physical Damage prevented from Hits in the past 10 seconds is Regenerated as Life per second","過去 10 秒阻止擊中的 1.5% 總物理傷害會每秒回復生命"
"0.3% of Attack Damage Leeched as Life","0.3% 攻擊傷害偷取生命"
"0.5% of Attack Damage Leeched as Life","0.5% 攻擊傷害偷取生命"
"0.5% of Attack Damage Leeched as Mana","0.5% 攻擊傷害偷取魔力"
"Recover 25% of Life and Mana when you use a Warcry","施放戰吼時回復 25% 生命和魔力"
"100% increased Warcry Duration","戰吼持續時間延長 100%"
"100% increased Warcry Cooldown Recovery Speed","戰吼冷卻回復速度提高 100%"
"have 20% increased Attack Speed","你和週圍友軍的攻擊速度提高 20%"
