Absolution,면죄
"from Bear Trap","곰 덫에서"
"from Detonate Dead","시체 폭발에서"
"from Sniper's Mark","저격수의 징표에서"
"from Puncture",관통상에서
"from Dash",질주에서
"from Riposte",반격에서
"from Shrapnel Ballista","파편 쇠뇌에서"
"from Vaal Detonate Dead","바알 시체 폭발에서"
"from Snipe",저격에서
"from Vaal Flicker Strike","바알 점멸 타격에서"
"from Precision",정밀함에서
"from Unearth",발굴에서
"from Blink Arrow","점멸 화살에서"
"from Flicker Strike","점멸 타격에서"
"from Mirror Arrow","거울 화살에서"
"from Smoke Mine","연막 지뢰에서"
"from Whirling Blades","칼날 선회에서"
"from Withering Step","고사시키는 걸음에서"
"from Vaal Lightning Arrow","바알 번개 화살에서"
"from Vaal Venom Gyre","바알 독액 선회에서"
"from Barrage","연발 사격에서"
"from Blade Trap","칼날 덫에서"
"from Siege Ballista","공성 쇠뇌에서"
"from Lacerate","피부 찢기에서"
"from Elemental Hit","원소의 일격에서"
"from Fire Trap","화염 덫에서"
"from Lightning Arrow","번개 화살에서"
"from Lightning Strike","번개 타격에서"
"from Poisonous Concoction","독성 혼합물에서"
"from Rain of Arrows",화살비에서
"from Toxic Rain","맹독성 비에서"
"from Reave",약탈에서
"from Shattering Steel","강철 파편에서"
"from Venom Gyre","독액 선회에서"
"from Spectral Helix","영체 나선에서"
"from Blade Vortex","칼날 소용돌이에서"
"from Vaal Lightning Strike","바알 번개 타격에서"
"from Vaal Blade Vortex","바알 칼날 소용돌이에서"
"from Vaal Rain of Arrows","바알 화살비에서"
"from Vaal Reave","바알 약탈에서"
"from Volatile Dead","시체 불덩이에서"
"from Vaal Arctic Armour","바알 한기의 방어구에서"
"from Blood Rage","피의 격노에서"
"from Blade Blast","칼날 폭격에서"
"from Desecrate",모독에서
"from Ensnaring Arrow","올가미 화살에서"
"from Frenzy",격분에서
"from Herald of Agony","고통의 전령에서"
"from Herald of Ice","얼음의 전령에서"
"from Arctic Armour","한기의 방어구에서"
"from Poacher's Mark","밀렵꾼의 징표에서"
"from Alchemist's Mark","연금술사의 징표에서"
"from Purity of Ice","얼음의 순수함에서"
"from Grace",은총에서
"from Haste",가속에서
"from Hatred",증오에서
"from Plague Bearer","독성 운반자에서"
"from Temporal Chains","시간의 사슬에서"
"from Vaal Impurity of Ice","바알 얼음의 부정함에서"
"from Vaal Grace","바알 은총에서"
"from Vaal Haste","바알 가속에서"
"from Vaal Blade Flurry","바알 질풍의 칼날에서"
"from Blast Rain","폭발 화살비에서"
"from Blade Flurry","질풍의 칼날에서"
"from Charged Dash","충전 질주에서"
"from Cremation","시체 소각에서"
"from Cyclone",회오리바람에서
"from Wild Strike","사나운 타격에서"
"from Explosive Arrow","폭발 화살에서"
"from Explosive Concoction","폭발성 혼합물에서"
"from Flamethrower Trap","화염방사기 덫에서"
"from Ice Trap","얼음 덫에서"
"from Lancing Steel","강철 관통에서"
"from Pestilent Strike","전염성 일격에서"
"from Artillery Ballista","포대 쇠뇌에서"
"from Storm Rain",폭풍우에서
"from Bladefall",칼날비에서
"from Seismic Trap","지진 덫에서"
"from Spectral Shield Throw","환영 방패 투척에서"
"from Tornado Shot","회오리 사격에서"
"from Vaal Cyclone","바알 회오리바람에서"
"from Scourge Arrow","재앙의 화살에서"
"from Ambush",매복에서
"from Temporal Rift","시간의 균열에서"
"from Summon Ice Golem","얼음 골렘 소환에서"
"from Vampiric Link","흡혈의 연결에서"
"from Phase Run","위상 질주에서"
"from Tornado",회오리에서
"from Intuitive Link","직관의 연결에서"
"from Blight",황폐에서
"from Rolling Magma","몰려오는 마그마에서"
"from Fireball",화염구에서
"from Frostbolt","서리 구체에서"
"from Freezing Pulse","동결 파동에서"
"from Stormblast Mine","태풍 파열 지뢰에서"
"from Lightning Tendrils","덩굴 번개에서"
"from Purifying Flame","정화의 불길에서"
"from Raise Zombie","좀비 소환에서"
"from Spark",전기불꽃에서
"from Vaal Blight","바알 황폐에서"
"from Vaal Fireball","바알 화염구에서"
"from Vaal Spark","바알 전기불꽃에서"
"from Kinetic Bolt","역학 투사체에서"
"from Contagion",전염에서
"from Conversion Trap","전향 덫에서"
"from Flame Wall","화염 벽에서"
"from Frost Bomb","서리 폭탄에서"
"from Frost Wall","서리 방벽에서"
"from Frostblink",서리점멸에서
"from Summon Holy Relic","신성한 유물 소환에서"
"from Orb of Storms","폭풍 보주에서"
"from Summon Raging Spirit","격노의 유령 소환에서"
"from Bodyswap","신체 전환에서"
"from Clarity",명상에서
"from Flame Dash","화염 질주에서"
"from Siphoning Trap","착취 덫에서"
"from Lightning Warp","번개 차원 이동에서"
"from Summon Skeletons","해골 소환에서"
"from Vaal Clarity","바알 명상에서"
"from Vaal Lightning Warp","바알 번개 차원 이동에서"
"from Vaal Summon Skeletons","바알 해골 소환에서"
"from Wither",위축에서
"from Arc","연쇄 번개에서"
"from Creeping Frost","엄습하는 서리에서"
"from Bone Offering","뼈 공물에서"
"from Storm Brand","폭풍의 낙인에서"
"from Icicle Mine","고드름 지뢰에서"
"from Blazing Salvo","맹렬한 포격에서"
"from Scorching Ray","작열 광선에서"
"from Incinerate",소각에서
"from Flame Surge","화염 쇄도에서"
"from Flesh Offering","살점 공물에서"
"from Ice Nova","얼음 폭발에서"
"from Ice Spear","얼음 창에서"
"from Lightning Trap","번개 덫에서"
"from Manabond","마나 결속에서"
"from Power Siphon","권능 착취에서"
"from Essence Drain","정수 흡수에서"
"from Spirit Offering","영혼 공물에서"
"from Storm Burst","폭풍 점사에서"
"from Storm Call","폭풍 부름에서"
"from Vaal Arc","바알 연쇄 번개에서"
"from Vaal Ice Nova","바알 얼음 폭발에서"
"from Vaal Lightning Trap","바알 번개 덫에서"
"from Vaal Storm Call","바알 폭풍 부름에서"
"from Vaal Power Siphon","바알 권능 착취에서"
"from Voltaxic Burst","전도성 격발에서"
"from Wintertide Brand","겨울의 낙인에서"
"from Assassin's Mark","암살자의 징표에서"
"from Arcane Cloak","비전의 망토에서"
"from Cold Snap",한파에서
"from Galvanic Field",충격장에서
"from Herald of Thunder","천둥의 전령에서"
"from Wave of Conviction","신념의 파도에서"
"from Brand Recall","낙인 소환에서"
"from Righteous Fire","정의의 화염에서"
"from Summon Skitterbots","원격 기폭 장치 소환에서"
"from Forbidden Rite","금단의 의식에서"
"from Tempest Shield","폭풍의 방패에서"
"from Vaal Cold Snap","바알 한파에서"
"from Vaal Righteous Fire","바알 정의의 화염에서"
"from Convocation",소집에서
"from Conductivity",전도성에서
"from Bane",파멸에서
"from Malevolence",악의에서
"from Despair",절망에서
"from Discipline",단련에서
"from Elemental Weakness","원소 약화에서"
"from Enfeeble",쇠약화에서
"from Flammability",인화성에서
"from Frostbite",동상에서
"from Purity of Lightning","번개의 순수함에서"
"from Purity of Elements","원소의 순수함에서"
"from Zealotry",열광에서
"from Spellslinger",주문투척에서
"from Energy Blade","에너지 칼날에서"
"from Vaal Discipline","바알 단련에서"
"from Vaal Impurity of Lightning","바알 번개의 부정함에서"
"from Wrath",진노에서
"from Vaal Firestorm","바알 화염 폭풍에서"
"from Armageddon Brand","종말의 낙인에서"
"from Ball Lightning","구형 번개에서"
"from Flameblast",화염파에서
"from Kinetic Blast","역학 폭발에서"
"from Discharge",방출에서
"from Crackling Lance","치직대는 창에서"
"from Divine Ire","신성한 진노에서"
"from Hexblast","사술 폭발에서"
"from Lightning Conduit","번개 도관에서"
"from Pyroclast Mine","화산탄 지뢰에서"
"from Firestorm","화염 폭풍에서"
"from Eye of Winter","겨울의 눈에서"
"from Winter Orb","겨울 보주에서"
"from Vortex",소용돌이에서
"from Lightning Spire Trap","번개 첨탑 덫에서"
"from Penance Brand","속죄의 낙인에서"
"from Raise Spectre","망령 소환에서"
"from Dark Pact","어둠의 서약에서"
"from Shock Nova","충격 폭발에서"
"from Soulrend","영혼 분리에서"
"from Stormbind","폭풍 연대에서"
"from Summon Reaper","수확자 소환에서"
"from Glacial Cascade","빙하 폭포에서"
"from Vaal Flameblast","바알 화염파에서"
"from Void Sphere","공허 구체에서"
"from Summon Chaos Golem","카오스 골렘 소환에서"
"from Sigil of Power","힘의 부적에서"
"from Destructive Link","파괴의 연결에서"
"from Frost Shield","서리 방패에서"
"from Hydrosphere","물의 구체에서"
"from Summon Lightning Golem","번개 골렘 소환에서"
"from Soul Link","영혼의 연결에서"
"from Summon Carrion Golem","부패 골렘 소환에서"
"from Arcanist Brand","신비학자 낙인에서"
"Vaal Cleave (Active)","^7바알 회전베기 ^x60C060(활성)"
"Vaal Molten Strike (Active)","^7바알 용암 타격 ^x60C060(활성)"
"Vaal Smite (Active)","^7바알 징벌 ^x60C060(활성)"
"Perforate (Active)","^7천공 ^x60C060(활성)"
"Cleave (Active)","^7회전베기 ^x60C060(활성)"
"Glacial Hammer (Active)","^7빙하 망치 ^x60C060(활성)"
"Ground Slam (Active)","^7대지 강타 ^x60C060(활성)"
"Heavy Strike (Active)","^7묵직한 타격 ^x60C060(활성)"
"Molten Strike (Active)","^7용암 타격 ^x60C060(활성)"
"Shield Crush (Active)","^7방패 타쇄 ^x60C060(활성)"
"Smite (Active)","^7징벌 ^x60C060(활성)"
"Vaal Glacial Hammer (Active)","^7바알 빙하 망치 ^x60C060(활성)"
"Vaal Ground Slam (Active)","^7바알 대지 강타 ^x60C060(활성)"
"Vaal Rejuvenation Totem (Active)","^7바알 회복 토템 ^x60C060(활성)"
"Ancestral Protector (Active)","^7선대의 수호자 ^x60C060(활성)"
"Blood and Sand (Active)","^7피와 모래 ^x60C060(활성)"
"Decoy Totem (Active)","^7미끼 토템 ^x60C060(활성)"
"Devouring Totem (Active)","^7포식 토템 ^x60C060(활성)"
"Holy Flame Totem (Active)","^7신성한 화염 토템 ^x60C060(활성)"
"Molten Shell (Active)","^7용암 방패 ^x60C060(활성)"
"Steelskin (Active)","^7강철피부 ^x60C060(활성)"
"Rejuvenation Totem (Active)","^7회복 토템 ^x60C060(활성)"
"Reckoning (Active)","^7역습 ^x60C060(활성)"
"Vaal Molten Shell (Active)","^7바알 용암 방패 ^x60C060(활성)"
"Vigilant Strike (Active)","^7경계 타격 ^x60C060(활성)"
"War Banner (Active)","^7전쟁 깃발 ^x60C060(활성)"
"Enduring Cry (Active)","^7인내의 함성 ^x60C060(활성)"
"Intimidating Cry (Active)","^7위협의 함성 ^x60C060(활성)"
"Leap Slam (Active)","^7도약 강타 ^x60C060(활성)"
"Shield Charge (Active)","^7방패 돌진 ^x60C060(활성)"
"Vitality (Active)","^7활력 ^x60C060(활성)"
"Vaal Absolution (Active)","^7바알 면죄 ^x60C060(활성)"
"Vaal Volcanic Fissure (Active)","^7바알 화산 균열 ^x60C060(활성)"
"Volcanic Fissure (Active)","^7화산 균열 ^x60C060(활성)"
"Absolution (Active)","^7면죄 ^x60C060(활성)"
"Exsanguinate (Active)","^7방혈 ^x60C060(활성)"
"Chain Hook (Active)","^7사슬 갈고리 ^x60C060(활성)"
"Infernal Blow (Active)","^7지옥불 맹타 ^x60C060(활성)"
"Searing Bond (Active)","^7불타는 굴레 ^x60C060(활성)"
"Sunder (Active)","^7산산조각 ^x60C060(활성)"
"Earthshatter (Active)","^7지면 분쇄 ^x60C060(활성)"
"Sweep (Active)","^7휩쓸기 ^x60C060(활성)"
"Static Strike (Active)","^7정전기 타격 ^x60C060(활성)"
"Ancestral Cry (Active)","^7선대의 함성 ^x60C060(활성)"
"Defiance Banner (Active)","^7저항의 깃발 ^x60C060(활성)"
"Flesh and Stone (Active)","^7육체와 돌 ^x60C060(활성)"
"Corrupting Fever (Active)","^7타락한 열병 ^x60C060(활성)"
"Herald of Purity (Active)","^7순수의 전령 ^x60C060(활성)"
"Herald of Ash (Active)","^7재의 전령 ^x60C060(활성)"
"Seismic Cry (Active)","^7지진 함성 ^x60C060(활성)"
"Warlord's Mark (Active)","^7전쟁군주의 징표 ^x60C060(활성)"
"Anger (Active)","^7분노 ^x60C060(활성)"
"Determination (Active)","^7결의 ^x60C060(활성)"
"Battlemage's Cry (Active)","^7전투마법사의 함성 ^x60C060(활성)"
"Dread Banner (Active)","^7공포의 깃발 ^x60C060(활성)"
"Purity of Fire (Active)","^7불의 순수함 ^x60C060(활성)"
"General's Cry (Active)","^7장군의 함성 ^x60C060(활성)"
"Infernal Cry (Active)","^7지옥불 함성 ^x60C060(활성)"
"Petrified Blood (Active)","^7피 석화 ^x60C060(활성)"
"Pride (Active)","^7자부심 ^x60C060(활성)"
"Punishment (Active)","^7응징 ^x60C060(활성)"
"Rallying Cry (Active)","^7집결의 함성 ^x60C060(활성)"
"Vaal Impurity of Fire (Active)","^7바알 불의 부정함 ^x60C060(활성)"
"Vengeance (Active)","^7복수 ^x60C060(활성)"
"Vulnerability (Active)","^7취약성 ^x60C060(활성)"
"Vaal Reap (Active)","^7바알 낫질 ^x60C060(활성)"
"Vaal Domination (Active)","^7바알 지배 ^x60C060(활성)"
"Animate Guardian (Active)","^7수호자 기동 ^x60C060(활성)"
"Boneshatter (Active)","^7뼈 박살 ^x60C060(활성)"
"Reap (Active)","^7낫질 ^x60C060(활성)"
"Bladestorm (Active)","^7칼날 폭풍 ^x60C060(활성)"
"Dominating Blow (Active)","^7지배의 맹타 ^x60C060(활성)"
"Consecrated Path (Active)","^7축성의 진격 ^x60C060(활성)"
"Ice Crash (Active)","^7얼음 충격 ^x60C060(활성)"
"Earthquake (Active)","^7지진 ^x60C060(활성)"
"Rage Vortex (Active)","^7격노 소용돌이 ^x60C060(활성)"
"Shockwave Totem (Active)","^7충격파 토템 ^x60C060(활성)"
"Ancestral Warchief (Active)","^7선대의 대전사 ^x60C060(활성)"
"Vaal Ancestral Warchief (Active)","^7바알 선대의 대전사 ^x60C060(활성)"
"Tectonic Slam (Active)","^7지층 강타 ^x60C060(활성)"
"Vaal Earthquake (Active)","^7바알 지진 ^x60C060(활성)"
"Frozen Legion (Active)","^7얼어붙은 군단 ^x60C060(활성)"
"Berserk (Active)","^7광폭 ^x60C060(활성)"
"Protective Link (Active)","^7보호의 연결 ^x60C060(활성)"
"Summon Flame Golem (Active)","^7화염 골렘 소환 ^x60C060(활성)"
"Flame Link (Active)","^7화염의 연결 ^x60C060(활성)"
"Immortal Call (Active)","^7불멸의 외침 ^x60C060(활성)"
"Summon Stone Golem (Active)","^7돌 골렘 소환 ^x60C060(활성)"
"Vaal Immortal Call (Active)","^7바알 불멸의 외침 ^x60C060(활성)"
"Vaal Ice Shot (Active)","^7바알 얼음 화살 ^x60C060(활성)"
"Vaal Caustic Arrow (Active)","^7바알 부식성 화살 ^x60C060(활성)"
"Vaal Split Arrow (Active)","^7바알 분할 화살 ^x60C060(활성)"
"Burning Arrow (Active)","^7불타는 화살 ^x60C060(활성)"
"Cobra Lash (Active)","^7코브라 채찍 ^x60C060(활성)"
"Double Strike (Active)","^7이중 타격 ^x60C060(활성)"
"Dual Strike (Active)","^7쌍수 타격 ^x60C060(활성)"
"Ethereal Knives (Active)","^7천상의 단도 ^x60C060(활성)"
"Spectral Throw (Active)","^7환영 무기 투척 ^x60C060(활성)"
"Ice Shot (Active)","^7얼음 화살 ^x60C060(활성)"
"Frost Blades (Active)","^7서리 칼날 ^x60C060(활성)"
"Splitting Steel (Active)","^7강철 분할 ^x60C060(활성)"
"Caustic Arrow (Active)","^7부식성 화살 ^x60C060(활성)"
"Galvanic Arrow (Active)","^7충격 화살 ^x60C060(활성)"
"Explosive Trap (Active)","^7폭발 덫 ^x60C060(활성)"
"Split Arrow (Active)","^7분할 화살 ^x60C060(활성)"
"Vaal Burning Arrow (Active)","^7바알 불타는 화살 ^x60C060(활성)"
"Vaal Spectral Throw (Active)","^7바알 환영 무기 투척 ^x60C060(활성)"
"Vaal Double Strike (Active)","^7바알 이중 타격 ^x60C060(활성)"
"Viper Strike (Active)","^7맹독 타격 ^x60C060(활성)"
"Vaal Animate Weapon (Active)","^7바알 무기 기동 ^x60C060(활성)"
"Animate Weapon (Active)","^7무기 기동 ^x60C060(활성)"
"Bear Trap (Active)","^7곰 덫 ^x60C060(활성)"
"Detonate Dead (Active)","^7시체 폭발 ^x60C060(활성)"
"Sniper's Mark (Active)","^7저격수의 징표 ^x60C060(활성)"
"Puncture (Active)","^7관통상 ^x60C060(활성)"
"Dash (Active)","^7질주 ^x60C060(활성)"
"Riposte (Active)","^7반격 ^x60C060(활성)"
"Shrapnel Ballista (Active)","^7파편 쇠뇌 ^x60C060(활성)"
"Vaal Detonate Dead (Active)","^7바알 시체 폭발 ^x60C060(활성)"
"Snipe (Active)","^7저격 ^x60C060(활성)"
"Vaal Flicker Strike (Active)","^7바알 점멸 타격 ^x60C060(활성)"
"Precision (Active)","^7정밀함 ^x60C060(활성)"
"Unearth (Active)","^7발굴 ^x60C060(활성)"
"Blink Arrow (Active)","^7점멸 화살 ^x60C060(활성)"
"Flicker Strike (Active)","^7점멸 타격 ^x60C060(활성)"
"Mirror Arrow (Active)","^7거울 화살 ^x60C060(활성)"
"Smoke Mine (Active)","^7연막 지뢰 ^x60C060(활성)"
"Whirling Blades (Active)","^7칼날 선회 ^x60C060(활성)"
"Withering Step (Active)","^7고사시키는 걸음 ^x60C060(활성)"
"Vaal Lightning Arrow (Active)","^7바알 번개 화살 ^x60C060(활성)"
"Vaal Venom Gyre (Active)","^7바알 독액 선회 ^x60C060(활성)"
"Barrage (Active)","^7연발 사격 ^x60C060(활성)"
"Blade Trap (Active)","^7칼날 덫 ^x60C060(활성)"
"Siege Ballista (Active)","^7공성 쇠뇌 ^x60C060(활성)"
"Lacerate (Active)","^7피부 찢기 ^x60C060(활성)"
"Elemental Hit (Active)","^7원소의 일격 ^x60C060(활성)"
"Fire Trap (Active)","^7화염 덫 ^x60C060(활성)"
"Lightning Arrow (Active)","^7번개 화살 ^x60C060(활성)"
"Lightning Strike (Active)","^7번개 타격 ^x60C060(활성)"
"Poisonous Concoction (Active)","^7독성 혼합물 ^x60C060(활성)"
"Rain of Arrows (Active)","^7화살비 ^x60C060(활성)"
"Toxic Rain (Active)","^7맹독성 비 ^x60C060(활성)"
"Reave (Active)","^7약탈 ^x60C060(활성)"
"Shattering Steel (Active)","^7강철 파편 ^x60C060(활성)"
"Venom Gyre (Active)","^7독액 선회 ^x60C060(활성)"
"Spectral Helix (Active)","^7영체 나선 ^x60C060(활성)"
"Blade Vortex (Active)","^7칼날 소용돌이 ^x60C060(활성)"
"Vaal Lightning Strike (Active)","^7바알 번개 타격 ^x60C060(활성)"
"Vaal Blade Vortex (Active)","^7바알 칼날 소용돌이 ^x60C060(활성)"
"Vaal Rain of Arrows (Active)","^7바알 화살비 ^x60C060(활성)"
"Vaal Reave (Active)","^7바알 약탈 ^x60C060(활성)"
"Volatile Dead (Active)","^7시체 불덩이 ^x60C060(활성)"
"Vaal Arctic Armour (Active)","^7바알 한기의 방어구 ^x60C060(활성)"
"Blood Rage (Active)","^7피의 격노 ^x60C060(활성)"
"Blade Blast (Active)","^7칼날 폭격 ^x60C060(활성)"
"Desecrate (Active)","^7모독 ^x60C060(활성)"
"Ensnaring Arrow (Active)","^7올가미 화살 ^x60C060(활성)"
"Frenzy (Active)","^7격분 ^x60C060(활성)"
"Herald of Agony (Active)","^7고통의 전령 ^x60C060(활성)"
"Herald of Ice (Active)","^7얼음의 전령 ^x60C060(활성)"
"Arctic Armour (Active)","^7한기의 방어구 ^x60C060(활성)"
"Poacher's Mark (Active)","^7밀렵꾼의 징표 ^x60C060(활성)"
"Alchemist's Mark (Active)","^7연금술사의 징표 ^x60C060(활성)"
"Purity of Ice (Active)","^7얼음의 순수함 ^x60C060(활성)"
"Grace (Active)","^7은총 ^x60C060(활성)"
"Haste (Active)","^7가속 ^x60C060(활성)"
"Hatred (Active)","^7증오 ^x60C060(활성)"
"Plague Bearer (Active)","^7독성 운반자 ^x60C060(활성)"
"Temporal Chains (Active)","^7시간의 사슬 ^x60C060(활성)"
"Vaal Impurity of Ice (Active)","^7바알 얼음의 부정함 ^x60C060(활성)"
"Vaal Grace (Active)","^7바알 은총 ^x60C060(활성)"
"Vaal Haste (Active)","^7바알 가속 ^x60C060(활성)"
"Vaal Blade Flurry (Active)","^7바알 질풍의 칼날 ^x60C060(활성)"
"Blast Rain (Active)","^7폭발 화살비 ^x60C060(활성)"
"Blade Flurry (Active)","^7질풍의 칼날 ^x60C060(활성)"
"Charged Dash (Active)","^7충전 질주 ^x60C060(활성)"
"Cremation (Active)","^7시체 소각 ^x60C060(활성)"
