"Absolution of Inspiring","격려의 면죄"
"Double Strike of Impaling (Disabled) (FullDPS)","^7꿰뚫기의 이중 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Double Strike of Momentum (Disabled) (FullDPS)","^7기세의 이중 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Dual Strike of Ambidexterity (Disabled) (FullDPS)","^7양손잡이의 쌍수 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Earthquake of Amplification (Disabled) (FullDPS)","^7증폭의 지진 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Earthshatter of Fragility (Disabled) (FullDPS)","^7허약의 지면 분쇄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Earthshatter of Prominence (Disabled) (FullDPS)","^7출중의 지면 분쇄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Essence Drain of Desperation (Disabled) (FullDPS)","^7필사의 정수 흡수 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Essence Drain of Wickedness (Disabled) (FullDPS)","^7사악함의 정수 흡수 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ethereal Knives of Lingering Blades (Disabled) (FullDPS)","^7지속되는 칼날의 천상의 단도 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ethereal Knives of the Massacre (Disabled) (FullDPS)","^7도륙의 천상의 단도 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Explosive Concoction of Destruction (Disabled) (FullDPS)","^7파괴의 폭발성 혼합물 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Explosive Trap of Magnitude (Disabled) (FullDPS)","^7규모의 폭발 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Explosive Trap of Shrapnel (Disabled) (FullDPS)","^7파편의 폭발 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Exsanguinate of Transmission (Disabled) (FullDPS)","^7전송의 방혈 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Eye of Winter of Finality (Disabled) (FullDPS)","^7종극의 겨울의 눈 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Eye of Winter of Transience (Disabled) (FullDPS)","^7덧없음의 겨울의 눈 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Fire Trap of Blasting (Disabled) (FullDPS)","^7폭발의 화염 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Firestorm of Meteors (Disabled) (FullDPS)","^7유성의 화염 폭풍 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Firestorm of Pelting (Disabled) (FullDPS)","^7퍼부음의 화염 폭풍 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flame Dash of Incinerating (Disabled) (FullDPS)","^7소각의 화염 질주 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flame Dash of Return (Disabled) (FullDPS)","^7귀환의 화염 질주 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flame Surge of Combusting (Disabled) (FullDPS)","^7발화의 화염 쇄도 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flameblast of Celerity (Disabled) (FullDPS)","^7민첩함의 화염파 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flameblast of Contraction (Disabled) (FullDPS)","^7수축의 화염파 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Flicker Strike of Power (Disabled) (FullDPS)","^7권능의 점멸 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Forbidden Rite of Soul Sacrifice (Disabled) (FullDPS)","^7영혼 희생의 금단의 의식 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frenzy of Onslaught (Disabled) (FullDPS)","^7맹공의 격분 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frost Blades of Katabasis (Disabled) (FullDPS)","^7퇴각의 서리 칼날 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frost Bomb of Forthcoming (Disabled) (FullDPS)","^7임박의 서리 폭탄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frost Bomb of Instability (Disabled) (FullDPS)","^7불안정의 서리 폭탄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frostblink of Wintry Blast (Disabled) (FullDPS)","^7차가운 폭발의 서리점멸 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Frozen Legion of Rallying (Disabled) (FullDPS)","^7재집결의 얼어붙은 군단 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Energy (Disabled) (FullDPS)","^7에너지의 충격 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Galvanic Arrow of Surging (Disabled) (FullDPS)","^7쇄도의 충격 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Galvanic Field of Intensity (Disabled) (FullDPS)","^7격렬함의 충격장 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Glacial Cascade of the Fissure (Disabled) (FullDPS)","^7균열의 빙하 폭포 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Glacial Hammer of Shattering (Disabled) (FullDPS)","^7산산조각의 빙하 망치 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ground Slam of Earthshaking (Disabled) (FullDPS)","^7지동의 대지 강타 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Hexblast of Contradiction (Disabled) (FullDPS)","^7상반의 사술폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Hexblast of Havoc (Disabled) (FullDPS)","^7혼란의 사술폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Holy Flame Totem of Ire (Disabled) (FullDPS)","^7노여움의 신성한 화염 토템 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ice Crash of Cadence (Disabled) (FullDPS)","^7운율의 얼음 충격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ice Nova of Deep Freeze (Disabled) (FullDPS)","^7결빙의 얼음 폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ice Nova of Frostbolts (Disabled) (FullDPS)","^7서리 구체의 얼음 폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ice Spear of Splitting (Disabled) (FullDPS)","^7분할의 얼음 창 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ice Trap of Hollowness (Disabled) (FullDPS)","^7무상의 얼음 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Icicle Mine of Fanning (Disabled) (FullDPS)","^7퍼짐의 고드름 지뢰 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Icicle Mine of Sabotage (Disabled) (FullDPS)","^7방해 공작의 고드름 지뢰 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Infernal Blow of Immolation (Disabled) (FullDPS)","^7제물의 지옥불 맹타 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Kinetic Bolt of Fragmentation (Disabled) (FullDPS)","^7파쇄의 역학 투사체 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lacerate of Butchering (Disabled) (FullDPS)","^7도살의 피부 찢기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lacerate of Haemorrhage (Disabled) (FullDPS)","^7실혈의 피부 찢기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lancing Steel of Spraying (Disabled) (FullDPS)","^7분사의 강철 관통 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Leap Slam of Groundbreaking (Disabled) (FullDPS)","^7땅 분쇄의 도약 강타 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Arrow of Electrocution (Disabled) (FullDPS)","^7전기 처형의 번개 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Conduit of the Heavens (Disabled) (FullDPS)","^7천국의 번개 도관 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Overloading (Disabled) (FullDPS)","^7과부하의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Spire Trap of Zapping (Disabled) (FullDPS)","^7전류의 번개 첨탑 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Strike of Arcing (Disabled) (FullDPS)","^7전호의 번개 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Eccentricity (Disabled) (FullDPS)","^7기행의 덩굴 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Tendrils of Escalation (Disabled) (FullDPS)","^7격화의 덩굴 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Lightning Trap of Sparking (Disabled) (FullDPS)","^7전기불꽃의 번개 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Bombarding Clones (Disabled) (FullDPS)","^7포격 분신의 거울 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Mirror Arrow of Prismatic Clones (Disabled) (FullDPS)","^7분광 분신의 거울 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Molten Strike of the Zenith (Disabled) (FullDPS)","^7북극성의 용암 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Pacify (Disabled) (FullDPS)","^7진정 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Penance Brand of Conduction (Disabled) (FullDPS)","^7전도의 속죄의 낙인 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Penance Brand of Dissipation (Disabled) (FullDPS)","^7소실의 속죄의 낙인 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Penance Mark (Disabled) (FullDPS)","^7속죄의 징표 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Perforate of Bloodshed (Disabled) (FullDPS)","^7유혈의 천공 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Perforate of Duality (Disabled) (FullDPS)","^7이중성의 천공 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Power Siphon of the Archmage (Disabled) (FullDPS)","^7대마법사의 권능 착취 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Purifying Flame of Revelations (Disabled) (FullDPS)","^7계시의 정화의 불길 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Pyroclast Mine of Sabotage (Disabled) (FullDPS)","^7방해 공작의 화산탄 지뢰 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Rage Vortex of Berserking (Disabled) (FullDPS)","^7광폭화의 격노 소용돌이 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Rain of Arrows of Artillery (Disabled) (FullDPS)","^7포대의 화살비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Rain of Arrows of Saturation (Disabled) (FullDPS)","^7포화의 화살비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Raise Spectre of Transience (Disabled) (FullDPS)","^7덧없음의 망령 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Raise Zombie of Falling (Disabled) (FullDPS)","^7추락의 좀비 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Raise Zombie of Slamming (Disabled) (FullDPS)","^7강타의 좀비 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ravenous (Disabled) (FullDPS)","^7굶주림 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Reave of Refraction (Disabled) (FullDPS)","^7굴절의 약탈 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Righteous Fire of Arcane Devotion (Disabled) (FullDPS)","^7비전 헌신의 정의의 화염 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Rune Blast of Teleportation (Disabled) (FullDPS)","^7순간이동의 룬 폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Scorching Ray of Immolation (Disabled) (FullDPS)","^7제물의 작열 광선 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Scourge Arrow of Menace (Disabled) (FullDPS)","^7위험의 재앙의 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Seismic Trap of Swells (Disabled) (FullDPS)","^7팽창의 지진 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Shattering Steel of Ammunition (Disabled) (FullDPS)","^7탄약의 강철 파편 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Shield Crush of the Chieftain (Disabled) (FullDPS)","^7부족장의 방패 타쇄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Shrapnel Ballista of Steel (Disabled) (FullDPS)","^7강철의 파편 쇠뇌 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Siege Ballista of Splintering (Disabled) (FullDPS)","^7파편의 공성 쇠뇌 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Smite of Divine Judgement (Disabled) (FullDPS)","^7신성한 심판의 징벌 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Soulrend of Reaping (Disabled) (FullDPS)","^7낫질의 영혼 분리 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Soulrend of the Spiral (Disabled) (FullDPS)","^7나선의 영혼 분리 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spark of Unpredictability (Disabled) (FullDPS)","^7예측 불허의 전기불꽃 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spark of the Nova (Disabled) (FullDPS)","^7폭발의 전기불꽃 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spectral Shield Throw of Shattering (Disabled) (FullDPS)","^7산산조각의 환영 방패 투척 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spectral Throw of Materialising (Disabled) (FullDPS)","^7구체화의 환영 무기 투척 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Split Arrow of Splitting (Disabled) (FullDPS)","^7분할의 분할 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Splitting Steel of Ammunition (Disabled) (FullDPS)","^7탄약의 강철 분할 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spray Paint Blood (Disabled) (FullDPS)","^7핏빛 물감 뿌리기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spray Paint Celestial (Disabled) (FullDPS)","^7천공의 물감 뿌리기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Spray Paint Magmatic (Disabled) (FullDPS)","^7마그마 물감 뿌리기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Storm Brand of Indecision (Disabled) (FullDPS)","^7우유부단의 폭풍의 낙인 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Storm Rain of the Conduit (Disabled) (FullDPS)","^7도관의 폭풍우 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Storm Rain of the Fence (Disabled) (FullDPS)","^7울타리의 폭풍우 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Stormbind of Teleportation (Disabled) (FullDPS)","^7순간이동의 폭풍 연대 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Hordes (Disabled) (FullDPS)","^7군단의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Carrion Golem of Scavenging (Disabled) (FullDPS)","^7청소부의 부패 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of Hordes (Disabled) (FullDPS)","^7군단의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Chaos Golem of the Maelström (Disabled) (FullDPS)","^7마엘스트롬의 카오스 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Dark Effigy (Disabled) (FullDPS)","^7어둠의 제웅 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Flame Golem of Hordes (Disabled) (FullDPS)","^7군단의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Flame Golem of the Meteor (Disabled) (FullDPS)","^7유성의 화염 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Hordes (Disabled) (FullDPS)","^7군단의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Ice Golem of Shattering (Disabled) (FullDPS)","^7산산조각의 얼음 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Lightning Golem of Hordes (Disabled) (FullDPS)","^7군단의 번개 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Raging Spirit of Enormity (Disabled) (FullDPS)","^7극악무도의 격노의 유령 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Reaper of Eviscerating (Disabled) (FullDPS)","^7적출의 수확자 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Reaper of Revenants (Disabled) (FullDPS)","^7원령의 수확자 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Skeletons of Archers (Disabled) (FullDPS)","^7궁수의 해골 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Skeletons of Mages (Disabled) (FullDPS)","^7마법사의 해골 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Hordes (Disabled) (FullDPS)","^7군단의 돌 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Safeguarding (Disabled) (FullDPS)","^7방비의 돌 골렘 소환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Sunder of Earthbreaking (Disabled) (FullDPS)","^7대지 분쇄의 산산조각 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Tectonic Slam of Cataclysm (Disabled) (FullDPS)","^7대재앙의 지층 강타 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Tornado Shot of Cloudburst (Disabled) (FullDPS)","^7구름폭발의 회오리 사격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Toxic Rain of Sporeburst (Disabled) (FullDPS)","^7포자 폭발의 맹독성 비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Toxic Rain of Withering (Disabled) (FullDPS)","^7고사의 맹독성 비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Viper Strike of the Mamba (Disabled) (FullDPS)","^7큰독사의 맹독 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Void Sphere of Rending (Disabled) (FullDPS)","^7분리의 공허 구체 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Volatile Dead of Confinement (Disabled) (FullDPS)","^7감금의 시체 불덩이 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Volatile Dead of Seething (Disabled) (FullDPS)","^7끓어오름의 시체 불덩이 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Volcanic Fissure of Snaking (Disabled) (FullDPS)","^7구불거림의 화산 균열 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Vortex of Projection (Disabled) (FullDPS)","^7투영의 소용돌이 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Wild Strike of Extremes (Disabled) (FullDPS)","^7극단의 사나운 타격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"

"Portal (Disabled) (Forced Active)","^7포탈 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Absolution of Inspiring (Disabled) (Forced Active)","^7격려의 면죄 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Animate Guardian of Smiting (Disabled) (Forced Active)","^7징벌의 수호자 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Animate Weapon of Ranged Arms (Disabled) (Forced Active)","^7원거리 병기의 무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Animate Weapon of Self Reflection (Disabled) (Forced Active)","^7자기 반사의 무기 기동 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Arc of Oscillating (Disabled) (Forced Active)","^7뇌동의 연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Arc of Surging (Disabled) (Forced Active)","^7쇄도의 연쇄 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Armageddon Brand of Recall (Disabled) (Forced Active)","^7소환의 종말의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Armageddon Brand of Volatility (Disabled) (Forced Active)","^7일촉즉발의 종말의 낙인 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ball Lightning of Orbiting (Disabled) (Forced Active)","^7공전의 구형 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Ball Lightning of Static (Disabled) (Forced Active)","^7정전기의 구형 번개 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bane of Condemnation (Disabled) (Forced Active)","^7규탄의 파멸 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Barrage of Volley Fire (Disabled) (Forced Active)","^7일제 포격의 연발 사격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bear Trap of Skewers (Disabled) (Forced Active)","^7꼬챙이의 곰 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Blast of Dagger Detonation (Disabled) (Forced Active)","^7단검 폭파의 칼날 폭격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Blast of Unloading (Disabled) (Forced Active)","^7난사의 칼날 폭격 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Flurry of Incision (Disabled) (Forced Active)","^7절개의 질풍의 칼날 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Trap of Greatswords (Disabled) (Forced Active)","^7대검의 칼날 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Trap of Laceration (Disabled) (Forced Active)","^7열상의 칼날 덫 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blade Vortex of the Scythe (Disabled) (Forced Active)","^7낫의 칼날 소용돌이 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bladefall of Impaling (Disabled) (Forced Active)","^7꿰뚫기의 칼날비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bladefall of Volleys (Disabled) (Forced Active)","^7사격 공세의 칼날비 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bladestorm of Uncertainty (Disabled) (Forced Active)","^7불확실성의 칼날 폭풍 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blight of Atrophy (Disabled) (Forced Active)","^7위축의 황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blight of Contagion (Disabled) (Forced Active)","^7전염의 황폐 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blink Arrow of Bombarding Clones (Disabled) (Forced Active)","^7포격 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Blink Arrow of Prismatic Clones (Disabled) (Forced Active)","^7분광 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Bodyswap of Sacrifice (Disabled) (Forced Active)","^7희생의 신체 전환 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
"Boneshatter of Carnage (Disabled) (Forced Active)","^7살육의 뼈 박살 ^x7F7F7F(사용안함) ^x60C060(강제 활성)"
